A0 f*d (MHz*mm),A0 Phase velocity (m/ms),A0 Energy velocity (m/ms),A0 Propagation time (micsec),A0 Coincidence angle (deg),A0 Wavelength/d (),A0 Wavenumber*d (rad),A0 Attenuation*d (Np/m*mm),A1 f*d (MHz*mm),A1 Phase velocity (m/ms),A1 Energy velocity (m/ms),A1 Propagation time (micsec),A1 Coincidence angle (deg),A1 Wavelength/d (),A1 Wavenumber*d (rad),A1 Attenuation*d (Np/m*mm)
0.765,2.14546509563822,3.05409739436676,32.7428981749072,9.19947224965593,2.80452953678199,2.24037052374536,0,2.3736,7.03469355919594,3.61748115300422,27.6435441597126,2.79475536894165,2.96372327232724,2.12003103186006,0
0.7656,2.14596566611686,3.054317282422,32.7405409305423,9.19730774422647,2.80298545731043,2.24160467575474,0,2.3742,7.03301509648736,3.61776322897769,27.6413888004103,2.79542288035307,2.96226733067449,2.12107301799428,0
0.7662,2.14646576977636,3.05453666027114,32.7381894938931,9.19514627871428,2.80144318686551,2.24283873991738,0,2.3748,7.03133855056512,3.61804453088697,27.6392396904758,2.79608994799285,2.96081293185326,2.12211492309538,0
0.7668,2.14696540824438,3.05475552939519,32.7358438466593,9.19298784250573,2.7999027233234,2.24407271539836,0,2.3754,7.02966391840086,3.61832505920307,27.6370968234747,2.79675657220265,2.95936007341958,2.12315674716774,0
0.7674,2.14746458254927,3.05497389101189,32.7335039733768,9.19083242759517,2.79836406378586,2.24530660198629,0,2.376,7.02799119613314,3.61860481471011,27.6349601905924,2.79742275365822,2.95790875258129,2.12419849046946,0
0.768,2.14796329193211,3.05519174556306,32.7311698669081,9.18868003370454,2.7968272030366,2.24654040133682,0,2.3766,7.02632037907125,3.61888379850492,27.6328297806394,2.79808849336862,2.95645896620014,2.12524015351216,0
0.7686,2.14846153801493,3.05540909452002,32.7288415090972,9.18653065028815,2.79529213897337,2.24777411261465,0,2.3772,7.02465146420865,3.61916201105492,27.630705587245,2.79875379167485,2.95501071184951,2.12628173630106,0
0.7692,2.14895932122815,3.0556259388359,32.7265188873534,9.18438427195773,2.79375886795131,2.24900773622854,0,2.3778,7.02298444770853,3.61943945314019,27.6285876016633,2.79941864925131,2.95356398675605,2.12732323909479,0
0.7698,2.14945664259516,3.05584227971798,32.7242019863764,9.18224089078061,2.79222738710724,2.25024127196495,0,2.3784,7.02131932574227,3.61971612553947,27.6264758151709,2.80008306677192,2.95211878815265,2.12836466215217,0
0.7704,2.14995350195161,3.05605811785905,32.7218907963884,9.1801005039551,2.79069769204519,2.25147472085194,0,2.379,7.01965609532306,3.61999202871674,27.6243702214585,2.80074704457731,2.95067511362886,2.12940600547929,0
